path,size_bytes,sha256,category,python_module,reachable_from_app,reachable_from_run,reachable_from_gcfis_cli,direct_local_importers,changed_vs_previous_zip
_v2.js,45376,e7c3213197c9d2432616f65eaa91fe4304876297eb3dcb67be2d0575f0390286,ui,,False,False,False,0,False
alpha_discovery_test.py,5864,a93613d998716e2c2467749466029ff519168f5d2459dd567ebc2fc8ea2e389a,validation,alpha_discovery_test,False,False,False,0,False
app.py,2829,4670057a67a580e022670c855a7fcce15c8bc4338ff640d0e5a3e18f293cef99,ui,app,True,False,False,0,False
bottleneck_reference.json,27835,5dec33a24af34db615546a5928dcf96ac0fc76707599506881a869394d580538,other,,False,False,False,0,False
build_cache.py,1891,a5647701aabfa7d97ee606aaf658cc41e1259b2fcfb59f197ca29410439a9628,data,build_cache,False,False,False,0,False
build_feeds.py,4457,419b247413c67b8a7ed499d3ab3147e107eebe26493035b3a7b9c9ea3846b854,data,build_feeds,False,False,False,0,False
component_validation.py,14253,1d61f633d78b4dd5b33f60bcdf64b61fc9a455116bbb51bdbac0f5f41542e56a,validation,component_validation,False,False,False,0,False
composition_audit.py,10004,cb81f526c2981e6ba9533b123a1b63d5b253204a79f28e5e009c63a9a2f3a1ad,validation,composition_audit,False,False,False,0,False
config/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,other,config,False,False,False,0,False
config/autonomy_settings.py,4938,f950ad6727838a33ac35b87d48663191b9633a85e833674127e25878e65da980,other,config.autonomy_settings,False,False,False,0,False
config/narrative_universe.py,647158,c665c708144af9ead1bb4fbf198cde7cb064aa48a0416b042837503417396708,other,config.narrative_universe,False,False,False,0,False
config/settings.py,47350,ef5949a1a7cb893d949975fbbe6168c36ca083e6e56de7c1153b847a8cfb06c4,other,config.settings,True,True,False,3,False
dashboard_live.html,67439,7cda771bae44c7147ff8e6fece392690b7ad895568cedbd987e9f25da576ac06,ui,,False,False,False,0,False
data/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data,data,False,False,False,0,False
data/bottleneck_reference.json,27835,5dec33a24af34db615546a5928dcf96ac0fc76707599506881a869394d580538,data,,False,False,False,0,False
data/chain_reactions.json,21640,3b2a581f203fae498bc2ea959fcc8bb08e16873d4134e779a8223e4bf760dc1f,data,,False,False,False,0,False
data/extended_universe.json,29146,647d2fd689ed39bec539abe4b3e044bef2b733151d66bdce0fee15c240967d83,data,,False,False,False,0,False
data/fred_loader.py,13073,952f3cec3746e9f671a9cb97d7d8f4234e7ccd8dc33b23e110e56d899133d5d0,data,data.fred_loader,True,True,False,3,False
data/ihsg_conglomerates.json,12376,6cfd5fadc8958acc6cf8e2a643a3cd0e149ba5228e2357c821fc7375f68f322d,data,,False,False,False,0,False
