candidate_id,f1,s1,f2,s2,kind,family1,family2
P::accel_10_40::+1::adl_flow_5::-1,accel_10_40,1,adl_flow_5,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_5::+1,accel_10_40,-1,adl_flow_5,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_5::-1,accel_10_40,-1,adl_flow_5,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_63::+1,accel_10_40,1,adl_flow_63,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::adl_flow_63::-1,accel_10_40,1,adl_flow_63,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_63::+1,accel_10_40,-1,adl_flow_63,1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::-1::adl_flow_63::-1,accel_10_40,-1,adl_flow_63,-1.0,pair_additive_rank,trend_acceleration,accumulation_proxy
P::accel_10_40::+1::amihud_10::+1,accel_10_40,1,amihud_10,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_10::-1,accel_10_40,1,amihud_10,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_10::+1,accel_10_40,-1,amihud_10,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_10::-1,accel_10_40,-1,amihud_10,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_126::+1,accel_10_40,1,amihud_126,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_126::-1,accel_10_40,1,amihud_126,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_126::+1,accel_10_40,-1,amihud_126,1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::-1::amihud_126::-1,accel_10_40,-1,amihud_126,-1.0,pair_additive_rank,trend_acceleration,illiquidity
P::accel_10_40::+1::amihud_20::+1,accel_10_40,1,amihud_20,1.0,pair_additive_rank,trend_acceleration,illiquidity
