metric,horizon_m,n,n_oos,base_rate,oos_ic,block_perm_p,n_nonoverlap,nonoverlap_ic,nonoverlap_p,raw_auc,raw_pr_auc,logit_brier,logit_auc,logit_pr_auc,era_ic_pre1946,era_ic_postwar,era_ic_modern,fdr_q_nonoverlap,status
inflation_yoy,24,1797,719,0.21279554937413073,0.14201910474298898,0.3211314475873544,30,0.13592880978865407,0.4738605007204884,0.5389558650315249,0.21443151676450978,0.18757777056277958,0.46104413496847496,0.18822747014025898,-0.05619034411841297,0.1758436812805397,-0.0009884110986877566,0.8314494130235822,CONTEXT_ONLY
inflation_accel_6m,24,1791,717,0.2105997210599721,0.15019795794686291,0.09317803660565724,30,0.25383759733036704,0.1758830229537755,0.6402078019329325,0.3577900315178554,0.18436175878079653,0.6402078019329325,0.3577900315178554,0.22548726065164132,0.13533485679030605,0.12221829463784496,0.8314494130235822,CONTEXT_ONLY
inflation_abs,24,1797,719,0.21279554937413073,0.1414967066207924,0.3277870216306156,30,0.13592880978865407,0.4738605007204884,0.5378819372271877,0.21422019637238893,0.18799895698331145,0.5378819372271877,0.21422019637238893,0.007341754760631505,0.15997730581544667,-0.0019082142001903772,0.8314494130235822,CONTEXT_ONLY
real_rate_proxy,24,1797,719,0.21279554937413073,-0.1453588533640099,0.2895174708818636,30,-0.16262513904338155,0.39054878801410287,0.4881867941522899,0.2041918547556869,0.1884353816276539,0.4881867941522899,0.2041918547556869,0.01627785805660195,-0.1278948816432949,-0.1666034302800537,0.8314494130235822,CONTEXT_ONLY
earnings_yoy_negative,24,1797,719,0.21279554937413073,0.0696135660715856,0.5773710482529119,30,0.21379310344827587,0.2566214549399979,0.5672879281276704,0.2923326677822141,0.18479900215938655,0.5672879281276704,0.2923326677822141,-0.13217789018945128,0.06283432626678132,0.08502397108505426,0.8314494130235822,CONTEXT_ONLY
earnings_decel_6m,24,1791,717,0.2105997210599721,0.020239921529769733,0.8202995008319468,30,0.03270300333704116,0.863786459147252,0.4727025951840498,0.21446430244086018,0.19144211171805703,0.5272974048159502,0.221005459717179,-0.20575002348076107,0.006914233788969048,0.10941801948839525,0.9776728208886185,CONTEXT_ONLY
earnings_decel_12m,24,1785,714,0.20728291316526612,0.030183850534931934,0.7254575707154742,30,0.053170189098998885,0.7802081176079786,0.4875847579027792,0.222841442903715,0.19219765455033547,0.5124152420972209,0.20830992506799806,-0.19037410430255466,0.03376982413402504,0.09196141126298829,0.9776728208886185,CONTEXT_ONLY
dividend_yoy_negative,24,1797,719,0.21279554937413073,0.1579621858653674,0.22462562396006655,30,0.13548387096774192,0.4753226725916998,0.6852583200535809,0.3340122687642128,0.187339521766344,0.6852583200535809,0.3340122687642128,-0.10130682721805302,0.07833151887087449,0.21800438421505994,0.8314494130235822,CONTEXT_ONLY
dividend_decel_6m,24,1791,717,0.2105997210599721,0.000998244090333089,1.0,30,-0.01846496106785317,0.9228476207693762,0.48437975335221023,0.21035890992253764,0.18708399262889408,0.5156202466477897,0.21927550595734285,-0.05764593961049509,0.014910500156717778,0.14691760517275965,0.9776728208886185,CONTEXT_ONLY
vix_avg,24,381,153,0.0784313725490196,0.08861261022884726,0.7487520798668885,7,,,0.7098108747044918,0.12790930423438707,0.12074172783591143,0.7098108747044918,0.12790930423438707,,,0.29187349361036874,,CONTEXT_ONLY
vix_max,24,381,153,0.0784313725490196,0.0932923888991448,0.6905158069883528,7,,,0.7130614657210401,0.13649454389975413,0.12456664875596184,0.7130614657210401,0.13649454389975413,,,0.30838765812123703,,CONTEXT_ONLY
vix_expanding_pct,24,346,139,0.08633093525179857,0.17138692609580786,0.5790349417637272,6,,,0.7939632545931758,0.1890258714759153,0.10585634146757555,0.7939632545931758,0.1890258714759153,,,0.3299392839161603,,CONTEXT_ONLY
vix_chg_3m,24,378,152,0.07894736842105263,-0.06699291145569043,0.6139767054908486,7,,,0.45059523809523805,0.07421755935984775,0.11602543666439458,0.45059523809523805,0.07421755935984775,,,0.01579525494717408,,CONTEXT_ONLY
negative_control_noise,24,1809,724,0.21823204419889503,-0.036801929200555146,0.33111480865224624,31,-0.005241935483870968,0.9776728208886185,0.521324417408418,0.23133165430445163,0.1888554195817941,0.47867558259158205,0.20734541461576625,-0.008522328017554799,0.030043071324691396,-0.09766466752418627,0.9776728208886185,CONTEXT_ONLY
negative_control_sine,24,1809,724,0.21823204419889503,-0.0004940168275271288,0.9550748752079867,31,0.12016129032258066,0.5196558831397389,0.5018226953526859,0.22492938252438532,0.18852241620756083,0.498177304647314,0.22473537946812333,-0.0015696527836810427,-0.005196082020076409,0.007187229710206824,0.8314494130235822,CONTEXT_ONLY
