claim_id,feature,family,target,orientation,diagnostic_survivor,discovery_n,discovery_beta,discovery_hac_t,discovery_bonferroni_lb,discovery_spearman,validation_n,validation_beta,validation_hac_t,validation_bonferroni_lb,validation_spearman,diagnostic_holdout_n,diagnostic_holdout_beta,diagnostic_holdout_hac_t,diagnostic_holdout_bonferroni_lb,diagnostic_holdout_spearman
oil_gold_ratio_mom12:future_12m_return,oil_gold_ratio_mom12,interaction_or_placebo,future_12m_return,-1,False,96,0.044953879544221455,0.20900815371403786,-0.734385116186327,0.044953879544221316,156,-0.009995100440960327,-0.0471569294627833,-0.7780001978987696,-0.009995100440960325,177,0.4019948581222624,2.2157334407706695,-0.2553987009876187,0.4019948581222624
inflation_momentum_interaction:future_6m_realized_vol,inflation_momentum_interaction,interaction_or_placebo,future_6m_realized_vol,-1,False,264,0.41615128516968714,2.9360768061921907,-0.09742656710120923,0.41615128516968747,156,0.046947258617692125,0.22369636687675565,-0.7135081725013246,0.04694725861769219,183,0.400254948187949,2.971512495376266,-0.08781448297595201,0.40025494818794916
dxy_vol_12:future_12m_return,dxy_vol_12,cross_asset,future_12m_return,1,False,264,0.01698374084485,0.10307221352199424,-0.5800710814469369,0.01698374084485001,156,-0.1110492958859509,-0.5133705804536867,-0.8948529630159539,-0.11104929588595089,177,0.39541386056335603,2.777147307498319,-0.1204979036337569,0.3954138605633561
cpi_yoy_change_6:future_12m_return,cpi_yoy_change_6,macro,future_12m_return,-1,False,264,0.10296030105198625,0.585908236258391,-0.5337804709352328,0.10296030105198616,156,-0.017651056566199363,-0.0957629215230726,-0.6855269661223022,-0.017651056566199412,177,0.37517312719655127,2.3681759346068967,-0.1988643124396119,0.3751731271965515
oil_mom_36:future_6m_realized_vol,oil_mom_36,cross_asset,future_6m_realized_vol,1,False,72,0.37883465174609277,3.8915041033596514,0.02609469041922624,0.37883465174609304,156,-0.07570925068356749,-0.3355770040822493,-0.893193162195007,-0.07570925068356742,183,0.3702309807085289,2.835675740707554,-0.10285344234028754,0.37023098070852906
spx_drawdown_60:future_6m_realized_vol,spx_drawdown_60,fragility,future_6m_realized_vol,-1,False,264,0.3205112244870374,2.224290942327774,-0.20161331946835115,0.32051122448703756,156,0.11582766870284311,0.6276094030674874,-0.55289390223865,0.11582766870284307,183,0.3681847834771437,2.857135635579146,-0.09875130055004122,0.3681847834771436
spx_drawdown_24:future_6m_realized_vol,spx_drawdown_24,fragility,future_6m_realized_vol,-1,False,264,0.4057208146734721,3.0729413371849597,-0.0726839299686457,0.4057208146734723,156,0.3583617453043447,2.307846693136196,-0.20428672963921957,0.35836174530434495,183,0.3679530792522054,2.863895834822847,-0.0975876502557868,0.3679530792522056
cpi_yoy_change_12:future_12m_return,cpi_yoy_change_12,macro,future_12m_return,-1,False,264,0.055817881809703304,0.3433650448130582,-0.5332152581181439,0.05581788180970338,156,-0.006571731124843903,-0.03252588729403055,-0.7386762585169755,-0.006571731124843891,177,0.358511798618445,1.8807450956608134,-0.33219856729326175,0.3585117986184449
spx_drawdown_120:future_6m_realized_vol,spx_drawdown_120,fragility,future_6m_realized_vol,-1,False,264,0.3576369810679275,2.6889364319367415,-0.1242934427263529,0.3576369810679276,156,0.019968562819391546,0.10287525529748774,-0.6833601408155205,0.01996856281939153,183,0.3582988576423083,2.7553490683246755,-0.11288592501370259,0.3582988576423086
dxy_vol_24:future_6m_return,dxy_vol_24,cross_asset,future_6m_return,1,False,264,0.07982183406626289,0.6269832889024999,-0.3814832017642622,0.07982183406626278,156,-0.18465015567953733,-1.0359203072324952,-0.8305211638568614,-0.18465015567953727,183,0.3499937339923085,2.7292050670511347,-0.11467832529303024,0.34999373399230865
