claim_id,feature,family,horizon,orientation,diagnostic_survivor,discovery_ic_n,discovery_ic_mean,discovery_ic_hac_t,discovery_ic_bonferroni_lb,discovery_spread_n,discovery_spread_mean,discovery_spread_hac_t,discovery_spread_bonferroni_lb,validation_ic_n,validation_ic_mean,validation_ic_hac_t,validation_ic_bonferroni_lb,validation_spread_n,validation_spread_mean,validation_spread_hac_t,validation_spread_bonferroni_lb,diagnostic_holdout_ic_n,diagnostic_holdout_ic_mean,diagnostic_holdout_ic_hac_t,diagnostic_holdout_ic_bonferroni_lb,diagnostic_holdout_spread_n,diagnostic_holdout_spread_mean,diagnostic_holdout_spread_hac_t,diagnostic_holdout_spread_bonferroni_lb
beta_63:future_21d_return,beta_63,market,21,-1,False,24,0.05190010948603493,1.3492236222527825,-0.08199292017954071,24,0.009166793972811805,1.0426362696824625,-0.021435802307389243,12,-0.10824664435729904,-1.968715512541975,-0.29963041626102416,12,-0.021925443224086235,-2.489902972658591,-0.052576086144071416,12,-0.027015807412281195,-0.5290465432596594,-0.2047609337474688,12,-0.00735554877353849,-0.8999421927564129,-0.03580501331365164
dollar_volume_63:future_21d_return,dollar_volume_63,liquidity,21,-1,False,24,0.02989945359080443,1.691934173137673,-0.03161163603961782,24,0.006717832932373773,1.9266702413033854,-0.00541872240616174,12,0.012424911506361035,0.39974961858539915,-0.09576303486928343,12,0.0020332904939562553,0.3965345427646549,-0.01581481136216636,12,-0.028209305379192067,-1.2478580461636308,-0.10689591613804608,12,-0.00429926793793255,-1.0327469442193313,-0.018789462745791533
dollar_volume_63:future_63d_return,dollar_volume_63,liquidity,63,-1,False,24,0.07050815646434572,2.664008710510449,-0.021616811522299176,24,0.023731157880036585,2.6496976966502657,-0.00744310772690969,12,0.01776776435641835,0.4463218882155793,-0.12079873038077454,12,0.0072012676822421065,0.5290229584737646,-0.040180151598106395,10,-0.03082302648580736,-1.5724369297802954,-0.0990530742606318,10,-0.0021130747968009476,-0.542565267952735,-0.015669229357856015
volume_ratio_5_21:future_63d_return,volume_ratio_5_21,volume,63,1,False,24,0.006354664259508949,0.48110673721854225,-0.03962066014902951,24,0.0008155773375558983,0.2487763567268237,-0.010595579567738796,12,-0.003132889066007004,-0.21276809408435488,-0.0543850456806488,12,-0.0016792590245021065,-0.32803656367052425,-0.01949767395571894,10,-0.03169296705044091,-2.1149908483218542,-0.08385182065545144,10,-0.01148315299335962,-2.1837926864798964,-0.029786199143840526
amihud_5:future_21d_return,amihud_5,liquidity,21,1,False,24,0.016021471420278276,0.9415040991025045,-0.043210176435895725,24,0.002154167723390151,0.6705491803055519,-0.009027910071126768,12,0.029301544519166445,0.851477688574018,-0.09048026551643396,12,0.0069124450023156335,1.331305316443547,-0.011160447003987405,12,-0.03192757901492812,-1.924724188762215,-0.08966682590564783,12,-0.005524752367894437,-1.6213062352670573,-0.01738575479215765
efficiency_63:future_63d_return,efficiency_63,path,63,-1,False,24,0.00320783152899156,0.19765071290174646,-0.053284148563950015,24,0.003776902419502041,0.7929036351455939,-0.012803267859145468,12,0.011725845960982825,0.2668268854069935,-0.1412378007225711,12,-0.001355082395129927,-0.09576699664504305,-0.05060703651819449,10,-0.0320141863044348,-1.737911034036773,-0.09613345468278225,10,-0.009763988654587758,-2.4461457361963905,-0.023657709514517664
dollar_volume_21:future_63d_return,dollar_volume_21,liquidity,63,-1,False,24,0.07096382167951741,2.831979343316582,-0.01625707467722992,24,0.0229643806522505,2.698351156491285,-0.0066586781682718595,12,0.01898761093814642,0.4655423724952935,-0.12297851777735751,12,0.006119934560726399,0.4654743190583571,-0.03964413994186213,10,-0.03307190883703257,-1.7037502348566276,-0.10063771521718154,10,-0.005851071678466625,-1.497485343182593,-0.019451308441938115
dollar_volume_21:future_21d_return,dollar_volume_21,liquidity,21,-1,False,24,0.029479176745810937,1.7892916900894205,-0.02786744472522952,24,0.007006210225788436,2.4249401116612397,-0.0030504963280499732,12,0.014047560428056355,0.44960367539701745,-0.09470630125294706,12,0.0019025162108028454,0.439353711722406,-0.013170067241749408,12,-0.033434908089051245,-1.4056957537333234,-0.11622577528105066,12,-0.005555571774907221,-1.2114706901809276,-0.021517651742706978
amihud_63:future_21d_return,amihud_63,liquidity,21,1,False,24,0.017613888105270984,1.1522673180632494,-0.03559395079352759,24,0.004059115466212396,1.7120205329270104,-0.004193584710720612,12,0.053984509469521075,1.618471838463465,-0.062116940432702605,12,0.01409367411995438,2.435115156596043,-0.006051839869771904,12,-0.03420482716887795,-2.2284861140739203,-0.08763063515382241,12,-0.005266254561314896,-1.5006162412851958,-0.01748160235437578
beta_63:future_63d_return,beta_63,market,63,-1,False,24,0.05946648193563563,1.0761205543479386,-0.13288031137213252,24,0.018837570712356845,1.021285353137513,-0.045364852927544934,12,-0.18220042112174695,-2.2728426397978754,-0.4612321814333637,12,-0.07338304375731629,-2.9380282383169485,-0.16032179274463765,10,-0.034794461033006104,-0.48944460596845824,-0.28224032436369045,10,-0.01493729635295422,-0.6743733367226582,-0.09203567363584163
